Condo Name,Address
CARLISLE COURT,"35 Carlisle Road, 219599"
CARLISLE LODGE,"73 Carlisle Road, 219643"
CARLTON TERRACE,"55 Holland Road, 258865"
CARLYX GREEN,"41 Carlisle Road, 219606"
CARLYX RESIDENCE,"39 Carlisle Road, 219604"
CARMI MANSIONS,"38 Lorong 33 Geylang, 387991"
CARPMAEL THIRTY-EIGHT,"38 Carpmael Road, 429781"
CASA AERATA,"9 Lorong 26 Geylang, 398484"
CASA AL MARE,"75 Jalan Loyang Besar, 50693"
CASA AROMA,"21 Chiku Road, 429433"
CASA CAIRNHILL,"1 Peck Hay Road, 228305"
CASA CAMBIO,"9 Lim Tua Tow Road, 547726"
CASA CONTENDERE,"39 Gilstead Road, 309083"
CASA EMERALD,"51 Lorong 32 Geylang, 398311"
CASA ESPANIA,"17 Gambir Walk, 538977"
CASA ESPERANZA,"995 Bukit Timah Road, 589632"
CASA FELIZ,"81 Koon Seng Road, 427024"
CASA FIDELIO,"114 Fidelio Street, 458482"
CASA FLORA,"21 Salam Walk, 467169"
CASA FORTUNA,"36 Ah Hood Road, 32998"
CASA IRRAWADDY,"61 Irrawaddy Road, 329557"
CASA JERVOIS,"99 Jervois Road, 249055"
CASA MELWANI,"7 Surrey Road, 307746"
CASA MERAH,"50 Tanah Merah Kechil Avenue, 465524"
CASA MEYA,"25 Meyappa Chettiar Road, 358464"
CASA MEYFORT,"79 Meyer Road, 437906"
CASA NASSAU,"382 Upper East Coast Road, 466474"
CASA NOVACREST,"17 Peck Hay Road, 228313"
CASA PASIR RIS,"201 Jalan Loyang Besar, 509506"
CASA RIVIERA,"19 Lim Tua Tow Road, 547766"
CASA ROSA,"35 Lorong Ong Lye, 536443"
CASA SARINA,"101 Lorong Sarina, 416729"
CASA SOPHIA,"105 Sophia Road, 22817"
CASA UNO,"1 Stevens Close, 257939"
CASABELLA,"192 Duchess Avenue, 266323"
CASABLANCA,"21 Rosewood Drive, 737917"
CASAFINA,"211 Bedok South Avenue 1, 469336"
CASCADALE,"730 Upper Changi Road East, 486858"
CASCATA,"7 Teo Kim Eng Road, 416378"
CASERO @ DUNMAN,"489 Dunman Road, 439192"
CASHEW PARK CONDOMINIUM,"50 Cashew Road, 679633"
CASPIAN,"50 Lakeside Drive, 648315"
CASSIA EDGE,"343 Guillemard Road, 399764"
CASSIA VIEW,"320 Guillemard Road, 399746"
CASTLE COURT,"398 Changi Road, 419845"
CASTLE GREEN,"481 Yio Chu Kang Road, 787056"
CASTLE LOFT,"133 Lorong K Telok Kurau, 42577"
CASUARINA COVE,"120 Tanjong Rhu Road, 436904"
CATHAY GARDENS,"1 Keris Drive, 456964"
CAVAN ROAD,"1 Cavan Road, 209842"
CAVAN SUITES,"11 Cavan Road, 209848"
CAVENAGH COURT,"151 Cavenagh Road, 229628"
CAVENAGH GARDENS,"69 Cavenagh Road, 229622"
CAVENAGH HOUSE,"100 Clemenceau Avenue North, 229491"
CAVENAGH LODGE,"81 Cavenagh Road, 229626"
