key1,Condo Name,Address,GPR,simp_gpr,area
114,AUSTVILLE RESIDENCES,"AUSTVILLE RESIDENCES, Singapore",4.9,3.0,
115,AVA TOWERS,"AVA TOWERS, Singapore",2.8,2.8, 
116,AVALON,"AVALON, Singapore",1.6,1.6, 
117,AVENUE PARK,"AVENUE PARK, Singapore",2.8,2.8,
118,AVILA GARDENS,"AVILA GARDENS, Singapore",1.4,1.4,237.6 sqm
119,AVON PARK,"AVON PARK, Singapore",2.8,2.8, 
120,AXIS @ SIGLAP,"AXIS @ SIGLAP, Singapore",1.4,1.4,"2,395.1 sqm"
121,AZALEA PARK CONDOMINIUM,"AZALEA PARK CONDOMINIUM, Singapore",1.4,1.4, 
122,BAGNALL COURT,"BAGNALL COURT, Singapore",1.4,1.4, 
123,BALCON EAST,"BALCON EAST, Singapore",1.4,1.4, 
126,BALESTIER PLAZA,"BALESTIER PLAZA, Singapore",3.0,3.0, 
127,BALESTIER POINT,"BALESTIER POINT, Singapore",3.0,3.0, 
128,BALESTIER REGENCY,"BALESTIER REGENCY, Singapore",2.8,2.8, 
129,BALLOTA PARK CONDOMINIUM,"BALLOTA PARK CONDOMINIUM, Singapore",1.4,1.4, 
130,BALMORAL 8,"BALMORAL 8, Singapore",1.6,1.6, 
132,BALMORAL CREST,"BALMORAL CREST, Singapore",1.6,1.6, 
133,BALMORAL GATE,"BALMORAL GATE, Singapore",2.1,2.1, 
135,BALMORAL HEIGHTS,"BALMORAL HEIGHTS, Singapore",1.6,1.6, 
136,BALMORAL HILLS,"BALMORAL HILLS, Singapore",1.6,1.6,"5,360 sqm"
137,BALMORAL LUCK,"BALMORAL LUCK, Singapore",1.6,1.6, 
138,BALMORAL PLACE,"BALMORAL PLACE, Singapore",1.6,1.6, 
139,BALMORAL POINT,"BALMORAL POINT, Singapore",2.1,2.1, 
140,BALMORAL RESIDENCES,"BALMORAL RESIDENCES, Singapore",1.6,1.6, 
141,BALMORAL TOWER,"BALMORAL TOWER, Singapore",2.1,2.1, 
143,BANYAN CONDOMINIUM,"BANYAN CONDOMINIUM, Singapore",1.4,1.4, 
145,BARTLEY RESIDENCES,"BARTLEY RESIDENCES, Singapore",2.8,2.8,"22,094.4 sqm"
146,BARTLEY RIDGE,"BARTLEY RIDGE, Singapore",3.0,3.0, 
147,BARTLEY VUE,"BARTLEY VUE, Singapore",2.1,2.1,
148,BASSEIN COURT,"BASSEIN COURT, Singapore",2.8,2.8, 
150,BAYOU RESIDENCE,"BAYOU RESIDENCE, Singapore",1.4,1.4, 
151,BAYSHORE PARK,"BAYSHORE PARK, Singapore",2.8,2.8, 
152,BAYVILLE CONDOMINIUM,"BAYVILLE CONDOMINIUM, Singapore",1.4,1.4, 
153,BAYWATER,"BAYWATER, Singapore",2.5,2.8,"25,796.5 sqm"
154,BEACON HEIGHTS,"BEACON HEIGHTS, Singapore",2.8,2.8,"5,903.2 sqm"
156,BEAUFORT ON NASSIM,"BEAUFORT ON NASSIM, Singapore",1.4,1.4, 
157,BEAVERTON COURT,"BEAVERTON COURT, Singapore",2.8,2.8,
158,BEDOK COURT,"BEDOK COURT, Singapore",2.1,2.1, 
160,BELLA CASITA,"BELLA CASITA, Singapore",2.8,2.8, 
162,BELLE VUE RESIDENCES,"BELLE VUE RESIDENCES, Singapore",1.4,1.4, 
163,BELLERIVE,"BELLERIVE, Singapore",2.1,2.1, 
164,BELLEWATERS,"BELLEWATERS, Singapore",3.0,3.0,"23,000 sqm"
165,BELLEWOODS,"BELLEWOODS, Singapore",2.8,2.8,"21,004.3 sqm"
167,BELMOND GREEN,"BELMOND GREEN, Singapore",1.6,1.6, 
168,BELMONDO VIEW,"BELMONDO VIEW, Singapore",2.8,2.8, 
169,BELYSA,"BELYSA, Singapore",2.1,2.1, 
171,BERKELEY RESIDENCES,"BERKELEY RESIDENCES, Singapore",1.4,1.4,"1,125.8 sqm"
172,BEVERLY HILL,"BEVERLY HILL, Singapore",2.1,2.1,"13,732.72 sqm"
173,BIJOU,"BIJOU, Singapore",3.0,3.0,"3,680 sqm"
174,BIRCHWOOD MANSIONS,"BIRCHWOOD MANSIONS, Singapore",3.0,3.0,
175,BIRMINGHAM MANSIONS,"BIRMINGHAM MANSIONS, Singapore",2.8,2.8, 
176,BISHAN 8,"BISHAN 8, Singapore",1.6,1.6, 
177,BISHAN LOFT,"BISHAN LOFT, Singapore",1.4,1.4,
178,BISHAN POINT,"BISHAN POINT, Singapore",2.1,2.1,
179,BISHOPSGATE RESIDENCES,"BISHOPSGATE RESIDENCES, Singapore",1.4,1.4, 
180,BLEU @ EAST COAST,"BLEU @ EAST COAST, Singapore",2.8,2.8,
181,BLISS LOFT,"BLISS LOFT, Singapore",2.8,2.8, 
183,BLISS RESIDENCES,"BLISS RESIDENCES, Singapore",1.6,1.6,
185,BLOSSOM RESIDENCES,"BLOSSOM RESIDENCES, Singapore",3.0,3.0,0 sqm
186,BLOSSOM VIEW,"BLOSSOM VIEW, Singapore",2.8,2.8, 
187,BLOSSOMS @ WOODLEIGH,"BLOSSOMS @ WOODLEIGH, Singapore",1.4,1.4,
188,BLU CORAL,"BLU CORAL, Singapore",1.4,1.4,
189,BLUE HORIZON,"BLUE HORIZON, Singapore",2.8,2.8, 
190,BLUWATERS 2,"BLUWATERS 2, Singapore",1.4,1.4,"4,496.1 sqm"
191,BOATHOUSE RESIDENCES,"BOATHOUSE RESIDENCES, Singapore",3.0,3.0,"13,000.3 sqm"
192,BOON COURT,"BOON COURT, Singapore",1.4,1.4,"2,090.2 sqm"
193,BOON TECK APARTMENTS,"BOON TECK APARTMENTS, Singapore",1.4,1.4,
194,BOON TECK LODGE,"BOON TECK LODGE, Singapore",2.8,2.8, 
195,BOON TECK TOWER,"BOON TECK TOWER, Singapore",2.8,2.8, 
196,BOONVIEW,"BOONVIEW, Singapore",2.1,2.1, 
197,BOTANIC GARDENS MANSION,"BOTANIC GARDENS MANSION, Singapore",1.4,1.4, 
198,BOTANIC GARDENS VIEW,"BOTANIC GARDENS VIEW, Singapore",1.4,1.4, 
