,Condo Name,Address
222,CAIRNHILL CREST,"CAIRNHILL CREST, Singapore"
224,CAIRNHILL PLAZA,"CAIRNHILL PLAZA, Singapore"
225,CAIRNHILL RESIDENCES,"CAIRNHILL RESIDENCES, Singapore"
226,CALARASI,"CALARASI, Singapore"
227,CALIN MANSIONS,"CALIN MANSIONS, Singapore"
228,CALLIDORA VILLE,"CALLIDORA VILLE, Singapore"
229,CAMBIO SUITES,"CAMBIO SUITES, Singapore"
235,CANBERRA RESIDENCES,"CANBERRA RESIDENCES, Singapore"
236,CANDEVILLE,"CANDEVILLE, Singapore"
241,CAPE ROYALE,"CAPE ROYALE, Singapore"
242,CARABELLE,"CARABELLE, Singapore"
243,CARDIFF RESIDENCE,"CARDIFF RESIDENCE, Singapore"
244,CARIBBEAN AT KEPPEL BAY,"CARIBBEAN AT KEPPEL BAY, Singapore"
245,CARISSA PARK CONDOMINIUM,"CARISSA PARK CONDOMINIUM, Singapore"
249,CARMI MANSIONS,"CARMI MANSIONS, Singapore"
251,CASA AERATA,"CASA AERATA, Singapore"
252,CASA AL MARE,"CASA AL MARE, Singapore"
254,CASA CAIRNHILL,"CASA CAIRNHILL, Singapore"
255,CASA CAMBIO,"CASA CAMBIO, Singapore"
257,CASA EMERALD,"CASA EMERALD, Singapore"
258,CASA ESPANIA,"CASA ESPANIA, Singapore"
259,CASA ESPERANZA,"CASA ESPERANZA, Singapore"
263,CASA FORTUNA,"CASA FORTUNA, Singapore"
264,CASA IRRAWADDY,"CASA IRRAWADDY, Singapore"
265,CASA JERVOIS,"CASA JERVOIS, Singapore"
266,CASA MELWANI,"CASA MELWANI, Singapore"
267,CASA MERAH,"CASA MERAH, Singapore"
268,CASA MEYA,"CASA MEYA, Singapore"
269,CASA NOVACREST,"CASA NOVACREST, Singapore"
270,CASA PASIR RIS,"CASA PASIR RIS, Singapore"
272,CASA ROSA,"CASA ROSA, Singapore"
273,CASA SARINA,"CASA SARINA, Singapore"
276,CASABLANCA,"CASABLANCA, Singapore"
277,CASAFINA,"CASAFINA, Singapore"
278,CASCADALE,"CASCADALE, Singapore"
279,CASCATA,"CASCATA, Singapore"
281,CASHEW PARK CONDOMINIUM,"CASHEW PARK CONDOMINIUM, Singapore"
282,CASPIAN,"CASPIAN, Singapore"
283,CASSIA EDGE,"CASSIA EDGE, Singapore"
284,CASSIA VIEW,"CASSIA VIEW, Singapore"
285,CASTLE GREEN,"CASTLE GREEN, Singapore"
286,CASTLE LOFT,"CASTLE LOFT, Singapore"
288,CAVENAGH COURT,"CAVENAGH COURT, Singapore"
289,CAVENAGH GARDENS,"CAVENAGH GARDENS, Singapore"
290,CAVENAGH HOUSE,"CAVENAGH HOUSE, Singapore"
291,CAVENAGH LODGE,"CAVENAGH LODGE, Singapore"
292,CAVENDISH PARK,"CAVENDISH PARK, Singapore"
294,CELESTIA,"CELESTIA, Singapore"
295,CENTRA HEIGHTS,"CENTRA HEIGHTS, Singapore"
300,CENTRAL GREEN CONDOMINIUM,"CENTRAL GREEN CONDOMINIUM, Singapore"
301,CENTRAL GROVE,"CENTRAL GROVE, Singapore"
302,CENTRAL IMPERIAL,"CENTRAL IMPERIAL, Singapore"
303,CENTRAL MEADOWS,"CENTRAL MEADOWS, Singapore"
304,CENTRAL VIEW,"CENTRAL VIEW, Singapore"
311,CHANCERY ESQUIRE,"CHANCERY ESQUIRE, Singapore"
312,CHANCERY PARK,"CHANCERY PARK, Singapore"
313,CHANGI COURT,"CHANGI COURT, Singapore"
315,CHANGI GREEN,"CHANGI GREEN, Singapore"
316,CHANTILLY RISE,"CHANTILLY RISE, Singapore"
319,CHARISMA VIEW,"CHARISMA VIEW, Singapore"
320,CHARLESTON,"CHARLESTON, Singapore"
321,CHARLTON CORNER,"CHARLTON CORNER, Singapore"
322,CHARMING GARDEN,"CHARMING GARDEN, Singapore"
323,CHATEAU LE FAME,"CHATEAU LE FAME, Singapore"
324,CHELSEA GARDENS,"CHELSEA GARDENS, Singapore"
326,CHEN FANG MANSIONS,"CHEN FANG MANSIONS, Singapore"
327,CHERRY GARDENS,"CHERRY GARDENS, Singapore"
329,CHESTERVALE,"CHESTERVALE, Singapore"
330,CHESTNUT-VILLE,"CHESTNUT-VILLE, Singapore"
332,CHIVERTON,"CHIVERTON, Singapore"
334,CHOON KIM HOUSE,"CHOON KIM HOUSE, Singapore"
335,CHOON MOEY MANSIONS,"CHOON MOEY MANSIONS, Singapore"
338,CHUAN PARK,"CHUAN PARK, Singapore"
342,CITY EDGE,"CITY EDGE, Singapore"
344,CITY LOFT,"CITY LOFT, Singapore"
345,CITY REGENCY,"CITY REGENCY, Singapore"
346,CITY SQUARE RESIDENCES,"CITY SQUARE RESIDENCES, Singapore"
347,CITY SUITES,"CITY SUITES, Singapore"
348,CITYLIFE @ TAMPINES,"CITYLIFE @ TAMPINES, Singapore"
349,CITYLIFE@TAMPINES,"CITYLIFE@TAMPINES, Singapore"
351,CITYSCAPE @ FARRER PARK,"CITYSCAPE @ FARRER PARK, Singapore"
352,CITYVISTA RESIDENCES,"CITYVISTA RESIDENCES, Singapore"
353,CLAREMONT,"CLAREMONT, Singapore"
354,CLEMENTI PARK,"CLEMENTI PARK, Singapore"
356,CLIFTEN,"CLIFTEN, Singapore"
357,CLIVEDEN AT GRANGE,"CLIVEDEN AT GRANGE, Singapore"
358,CLOVER PARK,"CLOVER PARK, Singapore"
359,CLUNY PARK RESIDENCE,"CLUNY PARK RESIDENCE, Singapore"
360,CLYDES RESIDENCE,"CLYDES RESIDENCE, Singapore"
361,COASTAL BREEZE RESIDENCES,"COASTAL BREEZE RESIDENCES, Singapore"
362,COASTAL VIEW RESIDENCES,"COASTAL VIEW RESIDENCES, Singapore"
363,COASTARINA,"COASTARINA, Singapore"
364,COCO PALMS,"COCO PALMS, Singapore"
365,COMMONWEALTH TOWERS,"COMMONWEALTH TOWERS, Singapore"
366,COMPASS HEIGHTS,"COMPASS HEIGHTS, Singapore"
368,CORALS AT KEPPEL BAY,"CORALS AT KEPPEL BAY, Singapore"
369,CORONA VILLE,"CORONA VILLE, Singapore"
370,CORONATION ARCADE,"CORONATION ARCADE, Singapore"
371,CORONATION GROVE,"CORONATION GROVE, Singapore"
372,CORONATION SHOPPING PLAZA,"CORONATION SHOPPING PLAZA, Singapore"
373,COSMO,"COSMO, Singapore"
374,COSTA DEL SOL,"COSTA DEL SOL, Singapore"
378,COTE D'AZUR,"COTE D'AZUR, Singapore"
379,COUNTRY ESQUIRE,"COUNTRY ESQUIRE, Singapore"
380,COUNTRY GRANDEUR,"COUNTRY GRANDEUR, Singapore"
381,COUNTRY PARK CONDO,"COUNTRY PARK CONDO, Singapore"
382,COUNTRY PARK CONDOMINIUM,"COUNTRY PARK CONDOMINIUM, Singapore"
383,CRADELS,"CRADELS, Singapore"
384,CRAIG PLACE,"CRAIG PLACE, Singapore"
385,CRANE COURT,"CRANE COURT, Singapore"
386,CRESCENDO BUILDING,"CRESCENDO BUILDING, Singapore"
387,CRESCENDO PARK,"CRESCENDO PARK, Singapore"
388,CROWN CENTRE,"CROWN CENTRE, Singapore"
389,CRYSTAL COURT,"CRYSTAL COURT, Singapore"
391,CRYSTAL DEW,"CRYSTAL DEW, Singapore"
392,CRYSTAL HEIGHTS,"CRYSTAL HEIGHTS, Singapore"
395,CUBE 8,"CUBE 8, Singapore"
397,CYAN,"CYAN, Singapore"
398,D - HERITAGE APARTMENTS,"D - HERITAGE APARTMENTS, Singapore"
399,D' PALMA,"D' PALMA, Singapore"
400,D'CHATEAU @ SHELFORD,"D'CHATEAU @ SHELFORD, Singapore"
401,D'ECOSIA,"D'ECOSIA, Singapore"
402,D'HIRO @ HILLSIDE,"D'HIRO @ HILLSIDE, Singapore"
403,D'LEEDON,"D'LEEDON, Singapore"
404,D'LOTUS,"D'LOTUS, Singapore"
405,D'MIRA,"D'MIRA, Singapore"
406,D'NEST,"D'NEST, Singapore"
407,D'OASIA,"D'OASIA, Singapore"
408,D'PAVILION,"D'PAVILION, Singapore"
409,D'SUNRISE,"D'SUNRISE, Singapore"
410,D'WEAVE,"D'WEAVE, Singapore"
412,DAHLIA PARK CONDOMINIUM,"DAHLIA PARK CONDOMINIUM, Singapore"
413,DAISY LODGE,"DAISY LODGE, Singapore"
414,DAISY SUITES,"DAISY SUITES, Singapore"
415,DAKOTA RESIDENCES,"DAKOTA RESIDENCES, Singapore"
416,DALVEY COURT,"DALVEY COURT, Singapore"
417,DARBY PARK,"DARBY PARK, Singapore"
418,DAWN VILLE,"DAWN VILLE, Singapore"
419,DE LENTE,"DE LENTE, Singapore"
420,DE PARADISO,"DE PARADISO, Singapore"
421,DE ROYALE,"DE ROYALE, Singapore"
422,DELIGHT COURT,"DELIGHT COURT, Singapore"
423,DENG FU VILLE,"DENG FU VILLE, Singapore"
424,DERBYSHIRE HEIGHTS,"DERBYSHIRE HEIGHTS, Singapore"
427,DLV,"DLV, Singapore"
428,DOMAIN 21,"DOMAIN 21, Singapore"
429,DOMUS,"DOMUS, Singapore"
432,DORSET MANSIONS,"DORSET MANSIONS, Singapore"
433,DORSETT RESIDENCES,"DORSETT RESIDENCES, Singapore"
434,DOVER PARKVIEW,"DOVER PARKVIEW, Singapore"
435,DRAYCOTT DRIVE,"DRAYCOTT DRIVE, Singapore"
436,DRAYCOTT PARK,"DRAYCOTT PARK, Singapore"
438,DUCHESS MANOR,"DUCHESS MANOR, Singapore"
439,DUCHESS RESIDENCES,"DUCHESS RESIDENCES, Singapore"
441,DUCHESS ROYALE,"DUCHESS ROYALE, Singapore"
443,DUET,"DUET, Singapore"
448,DUNEARN LODGE,"DUNEARN LODGE, Singapore"
449,DUNEARN SUITES,"DUNEARN SUITES, Singapore"
450,DUNMAN PLACE,"DUNMAN PLACE, Singapore"
452,DUNMAN VIEW,"DUNMAN VIEW, Singapore"
453,DYNASTY LODGE,"DYNASTY LODGE, Singapore"
455,E-SPACE,"E-SPACE, Singapore"
458,EAST BAY GARDENS,"EAST BAY GARDENS, Singapore"
465,EAST MEADOWS,"EAST MEADOWS, Singapore"
467,EAST PALM,"EAST PALM, Singapore"
468,EAST SHINE,"EAST SHINE, Singapore"
469,EAST TREASURE,"EAST TREASURE, Singapore"
470,EAST VIEW,"EAST VIEW, Singapore"
471,EAST VIEW 18,"EAST VIEW 18, Singapore"
472,EAST VILLAGE,"EAST VILLAGE, Singapore"
475,EASTERN LAGOON,"EASTERN LAGOON, Singapore"
477,EASTPAC BUILDING,"EASTPAC BUILDING, Singapore"
478,EASTPOINT GREEN,"EASTPOINT GREEN, Singapore"
483,EASTWOOD CENTRE,"EASTWOOD CENTRE, Singapore"
484,EASTWOOD LODGE,"EASTWOOD LODGE, Singapore"
485,EASTWOOD REGENCY,"EASTWOOD REGENCY, Singapore"
486,EBER GARDENS,"EBER GARDENS, Singapore"
488,ECHELON,"ECHELON, Singapore"
489,ECO,"ECO, Singapore"
491,ECOPOLITAN,"ECOPOLITAN, Singapore"
492,ECOVILLE,"ECOVILLE, Singapore"
493,EDELWEISS PARK CONDOMINIUM,"EDELWEISS PARK CONDOMINIUM, Singapore"
494,EDEN CREST,"EDEN CREST, Singapore"
496,EDEN VIEW,"EDEN VIEW, Singapore"
498,EDENZ SUITES,"EDENZ SUITES, Singapore"
499,EIGHT COURTYARDS,"EIGHT COURTYARDS, Singapore"
502,ELIAS GREEN,"ELIAS GREEN, Singapore"
503,ELIZABETH HEIGHTS,"ELIZABETH HEIGHTS, Singapore"
506,EMERALD APARTMENTS,"EMERALD APARTMENTS, Singapore"
507,EMERALD PARK,"EMERALD PARK, Singapore"
508,EMERY POINT,"EMERY POINT, Singapore"
511,ENG AUN MANSION,"ENG AUN MANSION, Singapore"
515,EQUATORIAL APARTMENTS,"EQUATORIAL APARTMENTS, Singapore"
516,ESCADA VIEW,"ESCADA VIEW, Singapore"
517,ESPA,"ESPA, Singapore"
518,ESPADA,"ESPADA, Singapore"
519,ESPANA,"ESPANA, Singapore"
520,ESPARINA RESIDENCES,"ESPARINA RESIDENCES, Singapore"
