Index,Condo Name,Address,Postal Code
148,BAYSHORE PARK,"50 Bayshore Road, 469977",469977
149,BAYVILLE CONDOMINIUM,"42 South Buona Vista Road, 118166",118166
150,BAYWATER,"808 Bedok Reservoir Road, 47924",479240
151,BEACON HEIGHTS,"8 Mar Thoma Road, 328689",328689
152,BEATTY ROAD,"1 Beatty Road, 209943",209943
153,BEAUFORT ON NASSIM,"12 Nassim Road, 25838",258380
154,BEAVERTON COURT,"45 Mount Sinai Rise, 276958",276958
155,BEDOK COURT,"295 Bedok South Avenue 3, 469296",469296
156,BEDOK RESIDENCES,"16 Bedok North Drive, 465494",465494
157,BELLA CASITA,"7 Ipoh Lane, 43861",438610
158,BELLA VISTA,"3 Sommerville Road, 358227",358227
159,BELLE VUE RESIDENCES,"15 Oxley Walk, 23859",238590
160,BELLERIVE,"9 Keng Chin Road, 258711",258711
161,BELLEWATERS,"11 Anchorvale Crescent, 544649",544649
162,BELLEWOODS,"100 Woodlands Avenue 5, 73901",739010
163,BELLEZZA @ KATONG,"46 Ceylon Road, 429634",429634
164,BELMOND GREEN,"13 Balmoral Road, 259799",259799
165,BELMONDO VIEW,"20 Pegu Road, 328369",328369
166,BELYSA,"55 Pasir Ris Drive 1, 51953",519530
167,BENDIGO GARDENS,"115 Koon Seng Road, 427048",427048
168,BERKELEY RESIDENCES,"11 Lorong N Telok Kurau, 425141",425141
169,BEVERLY HILL,"61 Grange Road, 24957",249570
170,BIJOU,"2 Jalan Mat Jambol, 119554",119554
171,BIRCHWOOD MANSIONS,"3 Jalan Ampas, 329504",329504
172,BIRMINGHAM MANSIONS,"130 Thomson Road, 307682",307682
173,BISHAN 8,"61 Bishan Street 21, 574044",574044
174,BISHAN LOFT,"31 Bishan Street 11, 579819",579819
175,BISHAN POINT,"61 Bright Hill Drive, 579653",579653
176,BISHOPSGATE RESIDENCES,"1 Bishopsgate, 247676",247676
177,BLEU @ EAST COAST,"560 Upper East Coast Road, 46658",466581
178,BLISS LOFT,"25 Kim Keat Close, 328933",328933
179,BLISS REGALIA,"80 Sing Avenue, 21792",217920
180,BLISS RESIDENCES,"17 Jalan Masjid, 418942",418942
181,BLOSSOM MANSIONS,"5 Lorong 37 Geylang, 387903",387903
182,BLOSSOM RESIDENCES,"30 Segar Road, 677721",677721
183,BLOSSOM VIEW,"31 Lorong 26 Geylang, 398498",398498
184,BLOSSOMS @ WOODLEIGH,"10 Woodleigh Close, 357905",357905
185,BLU CORAL,"127 Lorong L Telok Kurau, 425562",425562
186,BLUE HORIZON,"21 West Coast Crescent, 128045",128045
187,BLUWATERS 2,"205 Jalan Loyang Besar, 509456",509456
188,BOATHOUSE RESIDENCES,"33 Upper Serangoon View, 534042",534042
189,BOON COURT,"155 Still Road, 423992",423992
190,BOON TECK APARTMENTS,"42 Boon Teck Road, 329609",329609
191,BOON TECK LODGE,"46 Boon Teck Road, 32961",329610
192,BOON TECK TOWER,"41 Boon Teck Road, 329608",329608
193,BOONVIEW,"1 Marymount Terrace, 574036",574036
194,BOTANIC GARDENS MANSION,"2 Taman Serasi, 257718",257718
195,BOTANIC GARDENS VIEW,"1 Taman Serasi, 257717",257717
196,BOTANIKA,"50 Holland Road, 258853",258853
197,BOTANIQUE AT BARTLEY,"239 Upper Paya Lebar Road, 533866",533866
198,BOTANNIA,"29 West Coast Park, 127647",127647
199,BOUGAINVILLA APARTMENTS,"10 Lorong 19 Geylang, 388492",388492
200,BOULEVARD VUE,"11 Cuscaden Walk, 249697",249697
201,BOWMONT CENTRE,"20 Siglap Drive, 456192",456192
202,BRADDELL PARK,"58 Jalan Lateh, 359136",359136
203,BREEZE BY THE EAST,"316 Upper East Coast Road, 46552",465520
204,BREEZY MANSIONS,"15 Sandilands Road, 546079",546079
205,BRIGHTON VIEW,"23 Brighton Avenue, 559258",559258
206,BRISTOL LODGE,"53 Bristol Road, 219855",219855
207,BRISTOL ROAD,"20 Bristol Road, 219846",219846
208,BUCKLEY 18,"18 Buckley Road, 309776",309776
209,BUCKLEY RESIDENCE,"6 Buckley Road, 309762",309762
210,BUKIT REGENCY,"1 Upper Bukit Timah View, 588132",588132
211,BUKIT TIMAH MANSION,"327 Bukit Timah Road, 259715",259715
212,BULLION PARK,"160 Lentor Loop, 789094",789094
213,BUONA LODGE,"1 Zehnder Road, 117686",117686
214,BUONA VISTA GARDENS,"2 Zehnder Road, 117687",117687
215,BUTTERWORTH 33,"33 Butterworth Lane, 439442",439442
