Index,Condo Name,Address
205,BRADDELL PARK,"58 Jalan Lateh, 359136"
206,BREEZE BY THE EAST,"316 Upper East Coast Road, 46552"
207,BREEZY MANSIONS,"15 Sandilands Road, 546079"
208,BRIGHTON VIEW,"23 Brighton Avenue, 559258"
209,BRISTOL LODGE,"53 Bristol Road, 219855"
210,BRISTOL ROAD,"20 Bristol Road, 219846"
211,BUCKLEY 18,"18 Buckley Road, 309776"
212,BUCKLEY RESIDENCE,"6 Buckley Road, 309762"
213,BUKIT REGENCY,"1 Upper Bukit Timah View, 588132"
214,BUKIT TIMAH MANSION,"327 Bukit Timah Road, 259715"
215,BULLION PARK,"160 Lentor Loop, 789094"
216,BUONA LODGE,"1 Zehnder Road, 117686"
217,BUONA VISTA GARDENS,"2 Zehnder Road, 117687"
218,BUTTERWORTH 33,"33 Butterworth Lane, 439442"
219,BUTTERWORTH VIEW,"21 Butterworth Lane, 439431"
220,CADENCE LIGHT,"199 Telok Kurau Road, 423833"
221,CAIRNHILL ASTORIA,"6 Cairnhill Rise, 229741"
222,CAIRNHILL CREST,"2 Cairnhill Circle, 229811"
223,CAIRNHILL HEIGHTS,"16 Cairnhill Rise, 229744"
224,CAIRNHILL PLAZA,"53 Cairnhill Road, 229664"
225,CAIRNHILL RESIDENCES,"31 Cairnhill Circle, 229774"
226,CALARASI,"31 Kim Keat Lane, 328882"
227,CALIN MANSIONS,"30 Lorong 33 Geylang, 387987"
228,CALLIDORA VILLE,"19 Lorong N Telok Kurau, 425145"
229,CAMBIO SUITES,"28 Lim Tua Tow Road, 547791"
230,CAMELLIA LODGE,"31 Lorong 31 Geylang, 38803"
231,CAMELODGE,"112 Upper East Coast Road, 455006"
232,CANARY VILLE,"138 Lorong J Telok Kurau, 423484"
233,CANBERLIN APARTMENTS,"60 Lorong 16 Geylang, 398887"
234,CANBERLIN LODGE,"69 Lorong 6 Geylang, 399221"
235,CANBERRA RESIDENCES,"501 Canberra Drive, 768124"
236,CANDEVILLE,"37 Lorong M Telok Kurau, 425316"
237,CANNAVILLE,"34 Duku Road, 429192"
238,CANNE LODGE,"75 Lorong 3 Geylang, 388869"
239,CANNINGHILL PIERS,"1 Clarke Quay, 179882"
240,CANTIZ @ RAMBAI,"21 Rambai Road, 42434"
241,CAPE ROYALE,"11 Cove Way, 98202"
242,CARABELLE,"51 West Coast Way, 127015"
243,CARDIFF RESIDENCE,"101 Cardiff Grove, 558961"
244,CARIBBEAN AT KEPPEL BAY,"46 Keppel Bay Drive, 98635"
245,CARISSA PARK CONDOMINIUM,"2 Flora Drive, 507025"
246,CARLISLE COURT,"35 Carlisle Road, 219599"
247,CARLYX GREEN,"41 Carlisle Road, 219606"
248,CARLYX RESIDENCE,"39 Carlisle Road, 219604"
249,CARMI MANSIONS,"38 Lorong 33 Geylang, 387991"
250,CARPMAEL THIRTY-EIGHT,"38 Carpmael Road, 429781"
251,CASA AERATA,"9 Lorong 26 Geylang, 398484"
252,CASA AL MARE,"75 Jalan Loyang Besar, 50693"
253,CASA AROMA,"21 Chiku Road, 429433"
254,CASA CAIRNHILL,"1 Peck Hay Road, 228305"
255,CASA CAMBIO,"9 Lim Tua Tow Road, 547726"
256,CASA CONTENDERE,"39 Gilstead Road, 309083"
257,CASA EMERALD,"51 Lorong 32 Geylang, 398311"
258,CASA ESPANIA,"17 Gambir Walk, 538977"
259,CASA ESPERANZA,"995 Bukit Timah Road, 589632"
260,CASA FELIZ,"81 Koon Seng Road, 427024"
261,CASA FIDELIO,"114 Fidelio Street, 458482"
262,CASA FLORA,"21 Salam Walk, 467169"
263,CASA FORTUNA,"36 Ah Hood Road, 32998"
264,CASA IRRAWADDY,"61 Irrawaddy Road, 329557"
265,CASA JERVOIS,"99 Jervois Road, 249055"
266,CASA MELWANI,"7 Surrey Road, 307746"
267,CASA MERAH,"50 Tanah Merah Kechil Avenue, 465524"
268,CASA MEYA,"25 Meyappa Chettiar Road, 358464"
269,CASA NOVACREST,"17 Peck Hay Road, 228313"
270,CASA PASIR RIS,"201 Jalan Loyang Besar, 509506"
271,CASA RIVIERA,"19 Lim Tua Tow Road, 547766"
272,CASA ROSA,"35 Lorong Ong Lye, 536443"
273,CASA SARINA,"101 Lorong Sarina, 416729"
274,CASA UNO,"1 Stevens Close, 257939"
275,CASABELLA,"192 Duchess Avenue, 266323"
276,CASABLANCA,"21 Rosewood Drive, 737917"
277,CASAFINA,"211 Bedok South Avenue 1, 469336"
278,CASCADALE,"730 Upper Changi Road East, 486858"
279,CASCATA,"7 Teo Kim Eng Road, 416378"
280,CASERO @ DUNMAN,"489 Dunman Road, 439192"
