Condo Name,Address,Postal Code
ONE ROBEY,Robey Crescent,546256
ONE ROBIN,1 Robin Road,258176
ONE ROSYTH,1 Rosyth Road,546133
ONE SHENTON,1 Shenton Way,068803
ONE ST MICHAEL'S,St. Michael's Road,328006
ONE TREE HILL COLLECTION,12 One Tree Hill,248677
ONE TREE HILL MANSIONS,69 One Tree Hill,248706
ONE TREE HILL RESIDENCE,1a One Tree Hill,248669
ONE-NORTH EDEN,10 Slim Barracks Rise,138493
ONE-NORTH RESIDENCES,7 One-north Gateway,138642
ONEROBEY,1 Robey Crescent,546256
ONZE @ TANJONG PAGAR,11 Kee Seng Street,089218
OPAL EAST,64c Lorong M Telok Kurau,425368
OPAL SUITES,1 Opal Crescent,328396
OPTIMA @ TANAH MERAH,80 Tanah Merah Kechil Avenue,465514
OPUS AT GRANGE,Grange Road,
ORANGE COURT,6c Orange Grove Road,258333
ORANGE GROVE RESIDENCES,27 Orange Grove Road,258356
ORANGE GROVE ROAD,8 Orange Grove Road,258342
ORANGE REGENCY,101 Fernhill Road,259137
ORCHARD BEL AIR,245 Orchard Boulevard,248648
ORCHARD COURT,19 Oxley Road,238619
ORCHARD PARKSUITES,11 Orchard Turn,238800
ORCHARD POINT,Orchard Road,
ORCHARD SCOTTS,3 Anthony Road,229953
ORCHARD TOWER REAR BLOCK APARTMENT,1 Claymore Drive,229594
ORCHARD TOWERS,1 Claymore Drive,229594
ORCHARD VIEW,29 Angullia Park,239977
ORCHID APARTMENT,42 Eng Neo Avenue,289546
ORCHID APARTMENTS,42 Eng Neo Avenue,289533
ORCHID MANSION,11 Amber Road,439857
ORCHID PARK CONDO,Yishun Street 81,768445
ORCHID PARK CONDOMINIUM,81 Yishun Street 81,768445
ORION,6c Orange Grove Road,258333
OUE TWIN PEAKS,33 Leonie Hill Road,239197
OVADA 8,127 Koon Seng Road,427071
OWEN 88,88 Owen Road,218901
OWEN COURT,104 Owen Road,218912
OXFORD SUITES,21 Oxford Road,218817
OXLEY EDGE,308 River Valley Road,238349
OXLEY GARDEN,1 Oxley Garden,238732
OXLEY MANSION,26 Oxley Road,238620
OXLEY RESIDENCE,43 Oxley Road,238632
PACIFIC MANSION,8 River Valley Close,238432
PACIFIC VIEW,244 Pasir Panjang Road,118602
PADDY GREEN,1 Lorong 12 Geylang,398982
PALACE MANSION,8 Lorong 26 Geylang,398483
PALAZZETTO,8c Tanjong Rhu Road,436891
PALAZZO COURT,Killiney Road,
PALISADES,294 Pasir Panjang Road,118635
PALM GALLERIA,78 Lorong K Telok Kurau,425701
PALM GARDENS,2a Hong San Walk,689047
PALM GREEN,481 Pasir Panjang Road,117621
PALM GROVE CONDOMINIUM,19 Palm Grove Avenue,547315
PALM HAVEN,18 Palm Grove Avenue,547312
PALM ISLES,40 Flora Drive,506866
PALM LODGE,4 Lorong 37 Geylang,387902
PALM LOFT,136 Joo Chiat Terrace,427282
PALM MANSIONS,345 Pasir Panjang Road,118684
PALM OASIS,51 Lorong H Telok Kurau,426052
PALM RESIDENCE,7 Jalan Rajawali,598429
PALM SPRING,16 Ewe Boon Road,259324
PALM VILLE,Palm Grove Avenue,
PALM VISTA,47 Lorong G Telok Kurau,426224
PALMERA EAST,29 Lorong Melayu,416914
PALMERA RESIDENCE,38 Lorong N Telok Kurau,425163
PALMWOODS,450 Upper Changi Road,487040
PANDAN VALLEY,1 Pandan Valley,597631
PAPILLON,8 Jalan Rama Rama,329089
PARADISE PALMS,505 Dunman Road,439198
PARBURY HILL CONDOMINIUM,28 Parbury Avenue,467298
PARC ASTON,2 Leicester Road,358831
PARC BLEU,262 Joo Chiat Place,427944
PARC BOTANNIA,10 Fernvale Street,797390
PARC CENTENNIAL,100 Kampong Java Road,228867
PARC CENTRAL RESIDENCES,119 Tampines Street 86,"528513
"
PARC CENTROS,84 Punggol Central,828719
PARC ELEGANCE,11 Telok Kurau Road,423761
PARC EMILY,5 Mount Emily Road,228490
PARC GREENWICH,33 Fernvale Lane,797504
PARC HAVEN,12 Lorong Limau,328741
PARC IMPERIAL,253a Pasir Panjang Road,117422
PARC LIFE,29 Sembawang Crescent,756982
PARC LUMIERE,Simei Road,
PARC MACKENZIE,68 Mackenzie Road,228687
PARC MONDRIAN,21 Woodleigh Close,357916
PARC OASIS,35 Jurong East Avenue 1,609774
PARC OLYMPIA,56 Flora Drive,506856
PARC PALAIS,59 Hume Avenue,596301
PARC REGENCY,315 Pasir Panjang Road,118652
PARC ROSEWOOD,71 Rosewood Drive,737783
PARC SEABREEZE,532 Joo Chiat Road,427711
PARC SOMME,62 Somme Road,207877
PARC SOPHIA,8 Adis Road,229975
PARC STEVENS,21 Stevens Drive,257913
PARC VERA,10 Hougang Street 32,534037
PARC VISTA,450 Corporation Road,649810
PARISIAN,21 Angullia Park,239974
PARK 1 SUITES,8 Lorong 40 Geylang,398054
PARK CENTRAL @ AMK,Ang Mo Kio Street 52,561588
PARK COLONIAL,10 Woodleigh Lane,357657
PARK COURT,9 Lorong 101 Changi,426641
PARK EAST,69 Jalan Tua Kong,457264
PARK GREEN,2 Rivervale Link,545040
PARK HOUSE,21 Orchard Boulevard,248645
PARK INFINIA AT WEE NAM,2 Lincoln Road,308342
PARK NATURA,31 Bukit Batok East Avenue 6,659763
PARK NOVA,18 Tomlinson Road,247858
PARK PLACE RESIDENCES AT PLQ,2 Paya Lebar Road,409053
PARK RESIDENCES @ KOVAN,831 Upper Serangoon Road,534679
PARK VIEW MANSION,9a Yuan Ching Road,618643
PARK WEST,2 Jalan Lempeng,128793
PARKSHORE,201 Tanjong Rhu Road,436917
PARKVIEW APARTMENTS,5 Bukit Batok Street 25,658880
PARKVIEW CONDOMINIUM,18 West Coast Park,127639
PARKVIEW ECLAT,138 Grange Road,249617
PARKVIEW MANSION,9a Yuan Ching Road,618643
PARKWAY APARTMENT,13 Amber Road,439863
PARKWAY LODGE,525 Joo Chiat Road,427705
PARKWAY MANSION,9 Amber Road,439854
PARKWAY VIEW,39 Marine Parade,449265
PARRY COURT,35 Parry Avenue,547261
PARRY GARDENS,71 Poh Huat Road,546778
PARVIS,12 Holland Hill,278743
PASADENA,2a Derbyshire Road,309470
PASIR PANJANG COURT,21 Pasir Panjang Close,118972
PASIR PANJANG LODGE,390 Pasir Panjang Road,118722
PASIR RIS GARDEN,35 Elias Road,519879
PASIR VIEW PARK,200 Pasir Panjang Road,118571
PASTORAL VIEW,7 Bassein Road,309837
PATENT PLACE,17 Jalan Rajawali,598434
PATERSON COLLECTION,31 Paterson Road,
PATERSON EDGE,Paterson Road,238518
PATERSON LINC,20 Paterson Road,238509
PATERSON LODGE,20 Paterson Road,238509
PATERSON MANSION,1 Fort Road,439069
PATERSON RESIDENCE,71 Paterson Road,238543
PATERSON SUITES,55 Paterson Road,238550
PATERSON TOWER,Paterson Hill,
PAVILION 11,23 Akyab Road,309978
PAVILION SQUARE,345 Geylang Road,389366
PAYA LEBAR RESIDENCES,27 Paya Lebar Road,409042
PEACE CENTRE/MANSIONS,1 Sophia Road,228149
PEACH GARDEN,1 Peach Garden,437602
PEAK COURT,333 Thomson Road,307675
PEAK RESIDENCE,333 Thomson Road,307675
PEARLS CENTRE,100 Eu Tong Sen Street,059812
PEBBLE BAY,130 Tanjong Rhu Road,436918
PEBBLE GARDENS,486 Guillemard Road,399830
PECK HAY COURT,Peck Hay Road,
PECK HAY MANSION,15 Peck Hay Road,228312
PECK HAY VIEW,Peck Hay Road,
PEILY COURT,128 Lorong K Telok Kurau,425767
PEIRCE VIEW,557 Upper Thomson Road,574418
PELIKAT COURT,201 Jalan Pelikat,537652
PELIKAT MANSIONS,167 Jalan Pelikat,537635
PENANG SERVICE APARTMENTS,16 Lorong 34 Geylang,398213
PENDER COURT,110 Wishart Road,098729
PENG'S COURT,226 Tembeling Road,423714
PENHAS ROAD,1 Penhas Road,208173
PEONY MANSION,46 Bencoolen Street,189624
PEOPLE'S PARK CENTRE,101 Upper Cross Street,058357
PEOPLES MANSION,5 Lorong 31 Geylang,388018
PEPPERMINT GROVE,45 Newton Road,307971
PEPYS HILL CONDO,Pepys Road,
PEPYS HILL CONDOMINIUM,19 Pepys Road,118450
PERFECT TEN,321 Bukit Timah Road,259781
PERMAI COURT,Kampong Bahru Road,099455
PERMAI RESIDENCES,524 Kampong Bahru Road,099455
PERPETUAL APARTMENTS,7a Lorong 24 Geylang,398619
PETAIN COURT,2 Petain Road,208085
PHOENIX COURT,70 St. Thomas Walk,238139
PHOENIX HEIGHTS,1 Phoenix Walk,668105
PHOENIX MANSION,60 Cairnhill Road,229669
PHOENIX RESIDENCES,83 Phoenix Avenue,668384
PIN MANSIONS,18 Lim Ah Pin Road,547837
PIN TJOE COURT,7 Ardmore Park,259954
PINE COURT,28 Lorong L Telok Kurau,425440
PINE GROVE,1a Pine Grove,590001
PINE SPRINGS,7b Balmoral Road,259788
PINEHURST CONDOMINIUM,132 Lorong L Telok Kurau,425569
PINETREE CONDO,28 Balmoral Park,259856
PINEVALE,2 Tampines Street 73,528823
PINEWOOD GARDENS,21 Balmoral Park,259850
PINNACLE 16,16 Shan Road,328107
PLACE-8,21g Paya Lebar Crescent,533894
PLATINUM EDGE,18 Leicester Road,358847
POH HENG COURT,1b Woo Mon Chew Road,455055
POINT LOMA,30 Shelford Road,288423
POLLEN & BLEU,15 Farrer Drive,259296
POMEX COURT,50 Lorong 101 Changi,426657
PORTOFINO,6 Sarkies Road,258126
POSHGROVE EAST,335 East Coast Road,428960
POTONG PASIR HUDC,110 Potong Pasir Avenue 1,350110
PRESIDIO,5 Ceylon Lane,423472
PRESTIGE HEIGHTS,348 Balestier Road,329778
PRESTIGE LOFT,286 Telok Kurau Road,423911
PRESTIGE POINT,398 Upper Paya Lebar Road,534986
PRESTIGE RESIDENCE,52 Lorong G Telok Kurau,426235
PRESTO @ UPPER SERANGOON,528 Upper Serangoon Road,534543
PRIME RESIDENCE,41 Lorong 22 Geylang,398697
PRIME RESIDENCES,Lorong 22 Geylang,
PRIMEDGE,45 Lorong 34 Geylang,398236
PRIMO RESIDENCES,201 Jalan Pelikat,537653
PRINCE APARTMENT,34 Jalan Datoh,329421
PRINCIPAL GARDEN,91 Prince Charles Crescent,159025
PRISTINE HEIGHTS,77 Mergui Road,219053
PRIV,Punggol Field,828818
PRIVE,37 Punggol Field,828809
PROSPECT COURT,101 Bedok Road,469378
PROSPECT MANSION,Lorong Limau,
PROSPERITY MANSION,46 Mar Thoma Road,328717
PROSPERO VILLE,127 Lorong K Telok Kurau,425766
PROVENCE RESIDENCE,23 Canberra Crescent,757078
PROXIMO,27 Robin Road,258204
PS100,100 Peck Seah Street,079333
PUBLIC MANSION,Balestier Road,329813
Q BAY RESIDENCES,1 Tampines Street 86,528583
QUBE SUITES,24 Jalan Punai,418804
QUEENS,10 Stirling Road,148954
QUEENS PEAK,1 Dundee Road,149456
QUEENSBERRY LODGE,11 Shanghai Road,248185
QUEENSWAY SHOPPING CENTRE/QUEENSWAY TOWER,1 Queensway,149053
QUEENSWAY TOWER,Queensway,
QUESTA @ DUNMAN,543 Dunman Road,439219
QUINTERRA,359 Holland Road,278636
R MAISON,1 Sommerville Walk,357699
R66 APARTMENTS,136 Tessensohn Road,217699
RACE COURSE 138,138 Race Course Road,218591
RACE COURSE LANE,1 Race Course Lane,218730
RACE COURSE MANSION,122 Race Course Road,218583
RACE COURSE RD/OWEN RD CON AREA,21 Tessensohn Road,217652
RADIANT COURT,Lorong 4 Geylang,
RADIX,18 Jalan Wakaff,428228
RAFFLESIA CONDOMINIUM,31 Bishan Street 21,579800
RAINBOW GARDEN,Toh Tuck Road,
RAINBOW GARDENS,61 Jalan Kelichap,538181
RAINBOW MANSION,Grange Road,
RAINBOW MANSIONS,2a One Tree Hill,248670
RAINTREE GARDENS,Potong Pasir Avenue 1,
RAJAH MAISONETTES,25 Jalan Rajah,329139
RAJAH TOWERS,32 Jalan Rajah,329141
RAMBAI COURT,15 Rambai Road,424334
RAMBUTAN MANSIONS,16 Rambutan Road,424292
RANGOON 88,88 Rangoon Road,218374
RANGOON APARTMENTS,190 Rangoon Road,218447
RANGOON COURT,103 Rangoon Road,218386
RANGOON ROAD,55 Rangoon Road,218347
RANGOON VIEW,223 Rangoon Road,218460
RAYA GARDEN,3a Jalan Lokam,537848
RE CHARGE @ 303,303 River Valley Road,238344
REDWOOD WEST,Pasir Panjang Road,117629
REFLECTIONS AT KEPPEL BAY,1 Keppel Bay View,098402
REGAL 35,11 Lorong 35 Geylang,387943
REGAL COURT,17 Kim Keat Road,328837
REGENCY HOUSE,121 Penang Road,238464
REGENCY LODGE,17 Shanghai Road,248191
REGENCY PARK,3 Nathan Road,248726
REGENCY SUITES,38 Kim Tian Road,169262
REGENT COURT,1091 Serangoon Road,328190
REGENT GARDEN,West Coast Road,
REGENT GARDENS,53 West Coast Road,127364
REGENT GROVE,50 Choa Chu Kang North 7,689527
REGENT HEIGHTS,50 Bukit Batok East Avenue 5,659801
REGENT PARK,22 Jalan Lempeng,128803
REGENT RESIDENCES,1091 Serangoon Road,328190
REGENTVILLE,2 Hougang Street 92,538683
REGIS MANSIONS,15 Jalan Rajawali,598433
REIGNWOOD HAMILTON SCOTTS,37 Scotts Road,228229
RESIDENCE 1,Lorong 24 Geylang,398638
RESIDENCE 118,118 Lorong L Telok Kurau,425552
RESIDENCE 66,66 Telok Kurau Road,423788
RESIDENCE 81,25 Lorong G Telok Kurau,426194
RESIDENCES 88,88 Lorong Marican,417297
RESIDENCES @ EMERALD HILL,Emerald Hill Road,229401
RESIDENCES @ EVELYN,17 Evelyn Road,309306
RESIDENCES @ JANSEN,29 Jansen Road,548432
RESIDENCES @ KILLINEY,147 Killiney Road,239566
RESIDENCES @ SOMME,3 Petain Road,208108
RESIDENCES AT 338A,338a River Valley Road,238381
RESIDENCES BOTANIQUE,30 Yio Chu Kang Road,545550
RESIDENTIAL APARTMENTS,Yong Siak Street,
REZI 26,5 Lorong 26 Geylang,398480
REZI 35,20 Lorong 35 Geylang,387949
REZI 3TWO,48 Lorong 32 Geylang,398308
RHAPSODY ON MOUNT ELIZABETH,16 Mount Elizabeth,228513
RIA APARTMENTS,1 Jalan Pasir Ria,119462
RIA TOWNHOUSES,117 Bedok Ria Crescent,489930
RICCHEZZA,94 Lorong M Telok Kurau,425399
RICH EAST GARDEN,300 Upper East Coast Road,466438
RICH MANSION,311 Bukit Timah Road,259709
RICH.RESIDENCE,27c Richards Avenue,544619
RICHARDS MANSION,21 Richards Avenue,546430
RICHARDS MANSIONS,Richards Avenue,
RICHMOND PARK,3 Bideford Road,229920
RIDGE COURT,19 Meyappa Chettiar Road,358459
RIDGEWOOD CONDOMINIUM,1 Ridgewood Close,276692
RIO CASA,349 Hougang Avenue 7,530349
RIO GARDENS,55b Jalan Taman,329001
RIO VISTA,10 Upper Serangoon View,534198
RIPPLE BAY,4 Pasir Ris Link,518160
RIS GRANDEUR,21 Elias Road,519929
RISING COURT,437 Joo Chiat Road,427650
RISING SUITES,4 Sarkies Road,258124
RITZ @ FARRER,142 Race Course Road,218593
RITZ MANSION,346 Balestier Road,329776
RITZ MANSIONS,346 Balestier Road,329776
RITZ REGENCY,8 Ipoh Lane,438611
RIVA LODGE,36 Leonie Hill,239230
RIVAGE,4 Margate Road,438044
RIVAN COURT,85 Duku Road,429249
RIVER ISLES,60 Edgedale Plains,828729
RIVER PLACE,60 Havelock Road,169658
RIVER VALLEY APARTMENTS,400 River Valley Road,248296
RIVER VALLEY COURT,338e River Valley Road,238370
RIVER VALLEY VIEW,313 River Valley Road,238353
RIVERBANK @ FERNVALE,11 Fernvale Close,797475
RIVERBANK AT FERNVALE,Fernvale Close,
RIVERBAY,23 Mar Thoma Road,328704
RIVERCOVE RESIDENCES,20 Anchorvale Lane,544584
RIVERDALE RESIDENCE,346 River Valley Road,238373
RIVEREDGE,21 Sampan Place,436593
RIVERFRONT RESIDENCES,41 Hougang Avenue 7,533813
RIVERGATE,93 Robertson Quay,238255
RIVERIA GARDENS,8 River Valley Grove,238406
RIVERIA LODGE,6 River Valley Grove,238403
RIVERIA VIEW,20 River Valley Grove,238404
RIVERPARC RESIDENCE,90 Punggol Drive,828794
RIVERSAILS,24 Upper Serangoon Crescent,534024
RIVERSHIRE,31 Leonie Hill,239229
RIVERSIDE 48,48 Robertson Quay,238237
RIVERSIDE MELODIES,26a Saint Michael's Road,327995
RIVERSOUND RESIDENCE,5 Sengkang East Avenue,544740
RIVERTREES RESIDENCES,21 Fernvale Close,797460
RIVERVALE CREST,5 Rivervale Crescent,545084
RIVERVALE SHORES,170 Sengkang East Drive,540170
RIVERWALK APARTMENTS,Upper Circular Road,058416
RIVIERA 38,38 Mar Thoma Road,328712
RIVIERA POINT,2 Kim Yam Road,239320
RIVIERA RESIDENCES,9 Riviera Drive,467202
RIZ HAVEN,193 Jalan Loyang Besar,506928
ROBERTSON 100,100 Robertson Quay,238250
ROBERTSON BLUE,86 Robertson Quay,238245
ROBERTSON EDGE,18 Tong Watt Road,238010
ROBIN REGALIA,35 Robin Road,258210
ROBIN RESIDENCES,1 Robin Drive,258261
ROBIN STAR,Robin Road,258189
ROBIN SUITES,25 Robin Road,258203
ROBINSON SUITES,50 Robinson Road,068882
ROCCA BALESTIER,221 Balestier Road,329928
ROCHALIE RESIDENCES,6b Rochalie Drive,248237
ROCHDALE ROAD,11 Rochdale Road,535824
ROCHELLE AT NEWTON,188 Keng Lee Road,308414
ROSALIA PARK,36 Lorong Ong Lye,536406
ROSE APARTMENTS,Geylang Road,
ROSE COURT,17 Rose Lane,437377
ROSE GARDEN,10c Rochalie Drive,248245
ROSE MAISON,10 Haig Avenue,438865
ROSE MANSIONS,10 Rose Lane,437370
ROSE VILLE,2 Rose Lane,437384
ROSELANE COURT,6 Rose Lane,437364
ROSEVALE,32 Lincoln Road,308362
ROSEWOOD,1 Rosewood Drive,737934
ROSEWOOD SUITES,61 Rosewood Drive,737873
ROSYTH LODGE,5 Rosyth Road,546143
ROSYTH RESIDENCE,37 Rosyth Road,546200
ROSYTH VILLE,3 Rosyth Road,546134
ROYAL COURT,3 Jalan Rajawali,598436
ROYAL OAK @ ANDERSON,21 Anderson Road,259984
ROYAL PALM MANSIONS,330 Pasir Panjang Road,118655
ROYAL RESIDENCES,1a Surrey Road,307741
ROYALE MANSIONS,5 Pulasan Road,424373
ROYALVILLE,833 Bukit Timah Road,279887
ROYCE RESIDENCES,8 Lorong 6 Geylang,399242
RV EDGE,2 Shanghai Road,248209
RV POINT,233 River Valley Road,238291
RV RESIDENCES,461 River Valley Road,248346
RV SUITES,396 River Valley Road,248289
RYMDEN 77,77 Lorong H Telok Kurau,426094
SAGE,11a Nassim Road,258379
SAI HO BUILDING,777 Upper Serangoon Road,534645
SAINT MICHAEL'S PLACE,1 Jalan Taman,329022
SAINT PATRICK'S COURT,21a Saint Patrick's Road,424143
SALLIM LODGE,20 Sallim Road,387635
SAM KIANG MANSION,St. Thomas Walk,238108
SAM KIANG MANSIONS,23 Saint Thomas Walk,238108
SAM LEONG MANSION,21 Sam Leong Road,207912
SAMFORD MANSION,Lorong Limau,
SANCTUARY @ 813,813 Upper Serangoon Road,534085
SANCTUARY GREEN,181 Tanjong Rhu Road,436922
SANDALWOOD,152g Tembeling Road,423477
SANDY EIGHT,8 Sandy Lane,437324
SANDY PALM,163 Jalan Loyang Besar,509413
SANT RITZ,1 Pheng Geck Avenue,348196
SANTA FE MANSIONS,2a Margate Road,438073
SAPPHIRE 99,99 Sophia Road,228189
SAPPHIRE COURT,62 Lorong K Telok Kurau,425672
SARHAD VILLE,45 Lorong Sarhad,119161
SARINAVILLE,50 Sims Avenue East,416548
SARKIES COURT,5 Sarkies Road,258125
SARKIES GARDENS,7 Sarkies Road,258127
SARKIES GREEN,10 Sarkies Road,258129
SARKIES MANSIONS,9 Sarkies Road,258128
SAVANNAH CONDOPARK,31 Simei Rise,528779
SCENIC HEIGHTS,245 Balestier Road,329929
SCK VILLE,2 Haig Avenue,438840
SCOTTS 28,28 Scotts Road,228223
SCOTTS HIGHPARK,45 Scotts Road,228232
SCOTTS SQUARE,6 Scotts Road,228209
SCULPTURA ARDMORE,8 Ardmore Park,259963
SEA AVENUE MANSIONS,24 Sea Avenue,424244
SEA AVENUE RESIDENCES,11 Sea Avenue,424228
SEA BREEZE APARTMENTS,534 Joo Chiat Road,427712
SEA ESTA,26 Pasir Ris Link,518145
SEA HORIZON,1 Pasir Ris Rise,518080
SEA PAVILION RESIDENCES,494 Upper East Coast Road,466522
SEAHILL,93 West Coast Crescent,126764
SEASCAPE,55 Cove Way,098307
SEASONS PARK,491 Yio Chu Kang Road,787078
SEASONS VIEW,5 Pemimpin Drive,576149
SEASTRAND,11 Pasir Ris Link,518180
SEASUITES,252 Pasir Panjang Road,118617
SEAVIEW POINT,15 Amber Road,439865
SEEDEVI,Evelyn Road,
SELANTING GREEN,1 Jalan Selanting,598368
SELEGIE CENTRE,189 Selegie Road,188332
SELEGIE COURT,145 Selegie Road,188312
SELETAR PARK RESIDENCE,17 Seletar Road,807019
SELETAR SPRINGS CONDOMINIUM,100 Gerald Drive,798592
SELETARIS,501 Sembawang Road,757706
SEMBAWANG COTTAGE,369 Sembawang Road,758382
SEMBAWANG GARDEN ARCADE,1 Sembong Road,758326
SENG MANSION,1 Robin Road,258176
SENNETT RESIDENCE,31 Pheng Geck Avenue,348226
SERAN COURT,2a Wolskel Road,357958
SERANGOON APARTMENTS,801 Upper Serangoon Road,534671
SERANGOON NORTH HUDC,129 Serangoon North Avenue 1,550129
SERAYA 9,9 Seraya Lane,437276
SERAYA BREEZE,3 Seraya Road,437235
SERAYA COURT,10 Seraya Lane,437277
SERAYA LODGE,21 Seraya Road,437257
SERAYA VILLE,11 Seraya Lane,437278
SERENE HOUSE,3 Jalan Serene,258749
SERENE VIEW,25 Lorong Selangat,358719
SERENE VIEW MANSIONS,Lorong Selangat,
SERENITY BREEZE,98 Lorong J Telok Kurau,425927
SERENITY PARK,157a Tamarind Road,806105
SETIA RESIDENCES,11 Evelyn Road,309304
SEVEN HOLT ROAD,7 Holt Road,249445
SEVEN NASSIM,7 Nassim Road,
SEVEN PALMS SENTOSA COVE,153 Cove Drive,098182
SEVENTY SAINT PATRICK'S,70 St. Patricks Road,424175
SHAN COURT,12 Shan Road,328105
SHAN GATE,2 Shan Road,328103
SHAN MANSIONS,Irrawaddy Road,
SHANGHAI COURT,Shanghai Road,
SHANGHAI LODGE,38 Shanghai Road,248201
SHANGHAI ONE,1 Shanghai Road,248180
SHANGHAI ROAD,7 Shanghai Road,248181
SHANGRI-LA RESIDENCES,1a Lady Hill Road,258685
SHAW PLAZA - TWIN HEIGHTS,350 Balestier Road,329779
SHEARES VILLE,9 Holt Road,249446
SHEBA LODGE,28 Carpmael Road,429777
SHELFORD 23,23a Shelford Road,286655
SHELFORD CONDOMINIUM,Shelford Road,
SHELFORD COURT,23 Shelford Road,288413
SHELFORD GARDEN,17e Shelford Road,288388
SHELFORD GREEN,9 Shelford Road,288352
SHELFORD LODGE,Shelford Road,
SHELFORD MANSIONS,27 Shelford Road,288421
SHELFORD REGENCY,65 Shelford Road,288455
SHELFORD SUITES,16b Shelford Road,286653
SHELFORD VIEW,26 Shelford Road,288420
SHERIDAN COURT,80 Lorong N Telok Kurau,425230
SHERWOOD CONDO,Jalan Jurong Kechil,
SHERWOOD CONDOMINIUM,169 Jalan Jurong Kechil,598669
SHERWOOD TOWER,3 Jalan Anak Bukit,588998
SHIRO,38 Lorong H Telok Kurau,426025
SHREWSBURY ROAD,2 Shrewsbury Road,307807
SHUNFU VILLE,314 Shunfu Road,570315
SIGLAP COURT,8 Siglap Road,455839
SIGLAP LODGE,95 Upper East Coast Road,455231
SIGLAP V,2 First Street,458278
SIGNATURE AT LEWIS,1 Lewis Road,258617
SIGNATURE AT YISHUN,29 Yishun Street 51,767989
SIGNATURE CREST,9 Gray Lane,438951
SIGNATURE PARK,46a Toh Tuck Road,596738
SIGNATURE RESIDENCE,11 Green Lane,438916
SILAHIS APARTMENTS,121 Lorong K Telok Kurau,425762
SILVERSCAPE,39 Lorong 32 Geylang,398299
SILVERSEA,46 Marine Parade Road,449305
SIMEI GREEN,Simei Street 4,529868
SIMEI GREEN CONDOMINIUM,1 Simei Street 4,529861
SIMON PLAZA,2 Kovan Road,548008
SIMS AVENUE,24 Sims Avenue,387406
SIMS DORADO,11 Lorong 39 Geylang,387869
SIMS EDGE,1 Geylang East Avenue 2,389760
SIMS GREEN,7 Lorong 27a Geylang,388133
SIMS MANSION,46 Lorong 29 Geylang,388082
SIMS MEADOWS,8 Lorong 33 Geylang,387977
SIMS POINT,4 Lorong 19 Geylang,388489
SIMS RESIDENCES,8 Lorong 39 Geylang,387882
SIMS URBAN OASIS,2 Sims Drive,387386
SIMSVILLE,2 Geylang East Avenue 2,389754
SIN MING PLAZA,2 Sin Ming Road,575583
SING LIAN BUILDING,386 Changi Road,419835
SINGA COURT,31 Jalan Singa,418108
SINGA HILLS,33 Jalan Singa,418109
SIXTEEN35 RESIDENCE,Lorong 35 Geylang,
SIXTEEN35 RESIDENCES,16 Lorong 35 Geylang,387946
SIXTH AVENUE CENTRE,805 Bukit Timah Road,279883
SIXTH AVENUE VILLE,43 Sixth Avenue,276484
SKIES MILTONIA,3 Miltonia Close,768049
SKT MANSIONS,38 Lorong 25 Geylang,388307
SKY @ ELEVEN,5 Thomson Lane,297724
SKY GREEN,568 Macpherson Road,368236
SKY HABITAT,7 Bishan Street 15,573908
SKY VUE,1 Bishan Street 15,573910
SKYLINE 360,St. Thomas Walk,238142
SKYLINE 360 @ ST THOMAS WALK,70 St. Thomas Walk,238142
SKYLINE @ ORCHARD BOULEVARD,23 Angullia Park,239975
SKYLINE RESIDENCES,610 Telok Blangah Road,109025
SKYPARK,22 Saint Thomas Walk,238107
SKYPARK @ SOMERSET,22 St. Thomas Walk,238107
SKYPARK RESIDENCES,19 Sembawang Crescent,757052
SKYSUITES 17,17 Jalan Rajah,329137
SKYSUITES @ ANSON,8 Enggor Street,079718
SMAILING COURT,52 Lorong Mydin,416851
SMART HOUSE,42 Ewe Boon Road,259336
SMART SUITES,302 Sims Avenue,387516
SOHO 188,188 Race Course Road,218612
SOHO @ FARRER,172 Race Course Road,218605
SOL ACRES,8 Choa Chu Kang Grove,688206
SOLEIL @ SINARAN,2 Sinaran Drive,307467
SOMMERVILLE GRANDEUR,1 Farrer Drive,259275
SOMMERVILLE LOFT,7 Sommerville Walk,358178
SOMMERVILLE PARK,15 Sommerville Estate Road,258022
SOMMERVILLE REGENCY,22 Lorong Selangat,358716
SONG LANG GREEN,48 Koon Seng Road,426983
SOPHIA 98,98 Sophia Road,228165
SOPHIA APARTMENTS,Adis Road,
SOPHIA COURT,32 Adis Road,229978
SOPHIA CREST,67 Sophia Road,228151
SOPHIA FLATS,28 Wilkie Road,228051
SOPHIA HILLS,5 Mount Sophia,228453
SOPHIA LODGE,69 Sophia Road,228152
SOPHIA MANSION,14 Adis Road,229977
SOPHIA RESIDENCE,5 Sophia Road,228191
SOPHIA VIEW,108 Sophia Road,228173
SOPHIA VILLA,128 Sophia Road,228184
SOPHIA VILLE,128 Sophia Road,228184
SOUTH BEACH RESIDENCES,28 Beach Road,189762
SOUTHAVEN I,41 Hindhede Walk,587972
SOUTHAVEN II,31 Hindhede Walk,587967
SOUTHBANK,881 North Bridge Road,198784
SPACE @ KOVAN,9 Yio Chu Kang Road,545523
SPANISH VILLAGE,56 Farrer Road,268844
SPAZIO @ KOVAN,767 Upper Serangoon Road,534635
SPOTTISWOODE 18,18 Spottiswoode Park Road,088642
SPOTTISWOODE APARTMENT,Spottiswoode Park Road,
SPOTTISWOODE APARTMENTS,70 Spottiswoode Park Road,88659
